품번,품명,수량,부품번호,도면번호
1,"송신세트,원격계측자료용(ZKC-700K) ",1,N81000046,N81009999
2,"시험세트,유도탄 원격제어 구성품용(FYM-700K)",1,N81000071,N81000071
2,"시험세트,유도탄 원격제어 구성품용(FYM-700K)",1,N81000071,N81000071
